阅读,评论,标题,最后更新
89,1,老子持有6K，低于80不卖[得意][得意],06-04 09:27
196,0,今天又加了1000，坐等明天分红[兴奋][兴奋][兴奋],05-30 11:44
276,3,已经连跌7周了，百诚的脸都丢尽了[得意][得意]，马上进入第八周了，心碎啊！！[,05-26 10:05
659,5,百诚医药是一家以技术开发为核心的综合性医药研发企业，也是目前难得的高成长创新药优,05-24 02:13
217,0,连亏7周[哭][哭][哭],05-24 03:02
338,4,我一路加仓到今天亏了26个点，现已全仓满上了！[怒][得意][得意]有机会回本吗,05-22 03:07
144,0,继续搞起来[坏笑][坏笑][坏笑],05-24 09:45
182,0,看来这周终于要止跌了！有点小激动[兴奋][兴奋][鼓掌][鼓掌][鼓掌],05-23 06:51
145,0,为什么还不分红？！相比前2年都延迟n多天了[得意][为什么][为什么][为什么],05-23 06:48
198,1,今天尾盘买入请问有肉肉吃么,05-22 04:49
586,9,进入预警期，等正式发出买点。,05-21 06:08
150,0,连续6周的阴线，这第七周能改变局势吗？？[怒][得意][得意],05-22 03:02
106,0,震荡破位，一起砸,05-22 01:37
92,0,继续搞起来，加仓[坏笑][坏笑][坏笑],05-22 01:25
75,0,天天吃土,05-22 01:23
91,0,垃圾股伪装的真好,05-22 11:19
97,0,522满上，通过低买高卖，我的持仓成本56元。,05-22 11:05
88,0,此区域，继续买入，中期持有。,05-22 11:03
106,0,百诚医药：连续3日融资净买入累计380.36万元（05-21）,05-22 09:14
103,0,跑了跑了先跑为敬,05-21 11:14
376,4,这货是不是爆雷了啊？怎么天天跌个没完没了的？有知道说一下吧 谢谢,05-20 02:34
230,2,天空飘来五个字，“国内外首创”……！,05-21 11:43
121,0,天空飘来五个字，“国内外首创”……,05-21 11:34
1133,0,百诚医药北方长龙的铁铁们能发财，毫无悬念,03-05 11:14
105,0,百诚医药：融资净买入6.88万元，融资余额1.72亿元（05-20）,05-21 09:08
171,0,百诚医药05月20日获深股通增持4.87万股,05-21 05:28
505,2,百诚医药:关于BIOS2220获得临床试验批准通知书的公告,05-20 05:36
449,0,百诚医药：自主研发药品BIOS2220临床试验获批,05-20 07:04
261,0,百诚医药：BIOS2220获得临床试验批准通知书,05-20 06:09
316,0,百诚医药(301096.SZ)：BIOS2220获临床试验批准,05-20 05:50
343,0,百诚医药：获得《药物临床试验批准通知书》,05-20 05:49
255,0,百诚医药(301096.SZ)：BIOS2220获得临床试验批准通知书,05-20 05:47
215,0,百诚医药：BIOS2220获得临床试验批准通知书,05-20 05:47
79,0,跌的股民已经开始怀疑财务造假了,05-20 02:58
116,1,加仓呀[色][色][色],05-20 02:02
90,0,天天跌，何时止跌啊,05-20 02:01
163,0,墨菲定律，都不希望百诚医药财务造假，结果….,05-20 12:55
138,2,啥原因？,11-30 11:10
143,1,但愿财务没造假！近期你终究是会涨上去的！[得意][得意][得意],05-19 10:29
292,3,中国股市不习惯现金分红，认为现金红利要缴纳税金，所以送股及转增股才是主流，特别是,05-19 02:43
118,1,以后再也不抄底了[哭],05-20 09:49
91,0,百诚医药：融资净买入201.61万元，融资余额1.72亿元（05-17）,05-20 09:16
150,0,百诚医药本周融资净买入2600.02万元，居医疗服务板块第三,05-19 03:09
131,0,百诚医药本周深股通持股市值减少1408.98万元，居医疗服务板块第九,05-19 02:14
270,0,这个票一年多了怎么还在箱体里面，这里面的轿夫都拿不到货，这要拿个几年？股本太少了,05-18 07:36
154,0,医药医疗低位板块下周补涨,05-18 01:57
121,0,不会ST吧,05-18 11:27
148,0,一边唱颂歌、出研报给高估值，一边使劲砸盘压股价，无语……此股必有妖,05-18 09:40
172,1,庄股，人狠话不多,05-17 07:21
635,14,这为啥大跌？,05-17 10:36
151,0,这公司成长性这么好，除非作假，不然就是新机构打压了。,05-17 05:09
297,0,董秘你好：为便于中小投资者更好了解公司经营情况，公司能否按月公布新增订单的规模？,05-17 05:01
662,0,请问贵公司，一季报财报在净利润同比，环比23年相对稳定的情况下，营收对比23年，,05-17 05:00
568,0,2022年公司的权益分成为5780万，2023年权益分成只有2963万了，差不多,05-17 05:00
164,1,亏麻了[哭][哭][哭][哭][哭][哭],05-17 02:53
135,0,各回各家，各找各妈,05-17 03:06
