阅读,评论,标题,最后更新
1112888,0,东方财富网股吧社区内容治理公告,05-22 09:43
222,4,15.55有兄弟认同吗,05-26 06:32
4749,24,中远海控2024年分红可期！……,05-20 02:06
3576,10,中远海控股价近期连续上涨，涨幅达到40%，未来会不会延续涨幅还是会跌回原价？以上,05-21 05:08
722,12,【权益周报】4月社融“临时”负增长，对后市有什么影响？,05-14 11:07
345,7,高点跑了大部分[坏笑]周一杀一杀让我接回来,05-25 09:43
314,10,等你回调到11,05-25 01:23
538,1,中远海控从2021一季度至2024年一季度资产质量的飞跃增长,05-26 09:57
49,0,转发,05-26 10:16
4082,52,认准价值回归大势，咬定青山不放松，管尔东南西北风,05-24 10:09
1469,14,中远海控助力中国车企抢滩墨西哥和巴西市场,05-24 11:41
99,1,唱多没用股票没涨只能说躲过了外面的大跌,05-25 06:03
133,1,$中远海控(SH601919)$,05-25 07:55
815,0,对于高盛、摩根大通等外资看好A股的理由，主要有多方面：一、A股股息率依然不高，上,05-26 08:09
1126,6,很少发言了，不爱发言了，能持仓的都不是一般人，什么蜗牛什么星辰大海，什么唱多什么,05-25 07:01
349,0,ZIM海运股大涨,05-26 06:45
4307,52,买入点已经萎缩状态,05-17 01:47
5765,11,中远海控和大秦铁路Q2经营预测,05-20 12:14
463,5,按现在的运价，第二季度利润会不会有300亿呢,05-24 05:18
643,4,现在都在看海控价格是不是高，市盈率才8倍多，这能算高吗？这怎么能算是高,05-25 03:19
379,0,涨不涨不知道，反正比外面500个st股强多了,05-25 10:24
344,1,完了牛跑了！这句话怎么理解。高手来评论[微笑],05-25 09:35
1670,12,2024年一季报点评：集运市场回归常态，综合服务商展现经营韧性,05-24 03:16
3777,43,5月股市不贪高，落袋为安！,05-23 01:45
228,1,海控股友们，当死多头五年！！结果一定出乎意料，过百时候不要说你早卖了！,05-25 06:16
1722,8,大摩：上调中远海控AH股至平配,05-24 05:24
768,6,本周CCFI涨幅超10%？附2021年中国集装箱运价指数CCFI走势及说明,05-24 02:52
857,4,链动“港航货”，中远海控助力客户打通汽车出海新通道,05-23 11:34
576,2,中远海控，周一基本上会跳空高开，有持仓的今天可以去吃个大鸡腿。,05-25 06:43
409,0,周一涨不涨不知道，但一个月必定过16，这轿子坐定了，不抬也得抬，就是这么拽[大笑,05-25 06:57
930,20,海控应该很快要冲击一下15了,05-24 05:20
502,2,这股看好的散户太多了，可以需要来一根进行充分洗洗了,05-25 04:23
328,0,洗到14以下会被抢,05-25 06:16
795,6,外围很久没这么酣畅淋漓的涨过了[奸笑][奸笑]，海控下周冲击一下15不过分吧[旺,05-24 11:22
3560,11,海运价格大涨，“中远海控”又要发财了？,05-24 10:34
105,0,$中远海控(SH601919)$,05-25 04:38
331,0,周线还往上拉吗,05-25 04:01
333,5,高位震荡都是熊的语言，留1000股先撤了，估计没半个月调整不会到位，挣了4块多了,05-25 12:17
2117,57,找点小乐趣，既不唱多，也不唱空,05-24 10:22
1382,14,今天大盘暴跌啊，盘中跌幅最大到达了1.7%，咱们手里头的票那是全红啊，又是吃肉的,05-23 10:51
341,2,涨停：六千股买半年报业绩大增水电002039能赚大钱吗？牛市哦,05-10 06:36
2601,15,海航科技是龙头,05-16 11:44
312,0,大师，我觉得周一还会盘一个十字星。这样上涨就很完美了。双叉十字斩,05-25 02:18
115,1,散户在念经,05-25 12:56
342,4,星期一红我就买绿我就卖,05-25 06:55
5856,17,中远海控14.00的价格还能不能长投以最悲观的态度和以较乐观的态度预测长期回报，,05-23 06:35
449,0,高位盘整K线呈一字形,05-25 12:04
120,0,如果不是大盘这么烂，中远涨停没毛病[赞][赞][赞],05-25 11:49
924,17,今年目标价能到多少？,05-24 04:14
277,1,永辉超市供应链再升级，提升商品价格竞争力,05-25 10:15
364,5,海控密码1414,05-24 10:40
424,0,海皇又到了最熟悉的周五收盘利好，周六涨停，周日回调，周一平开低走的节奏。,05-25 10:53
346,0,5月旺季来了了预计第二季度业绩1.5元,05-25 10:53
