阅读,评论,标题,最后更新
634,65,高端化受市场欢迎，销量有望持续增长，短期回调已经见底,1900-12-28
557,74,明天涨停,1900-12-28
513,92,跟上大盘的节奏，冲,1900-12-27
3730,26,拿下比亚迪，混动成为标杆……混动产品成功配套比亚迪汽车市场，2022年实现,1900-08-23
546,1,比亚迪(002594)2024年6月4日北向资金流入156.14万股在深股通流入资金中排名第1位,1900-06-05
401,0,技术上看有回调要求，小心点吧,1900-06-05
366,0,中信证券给出比亚迪买入评级，目标价365元,1900-06-05
261,3,臭九菜们都是看好的[大笑],1900-06-05
195,0,新能源车有可能走手机路线新能源车与手机都属于个人消费品，属于“玩”的范畴。都属于,1900-06-05
194,0,前几天卖飞了，坐等回调接人！,1900-06-05
192,0,一己之力带动整个板块，NB大了！,1900-06-05
180,4,今天收盘————260,1900-06-05
176,0,欧盟对电动汽车加征关税将使中国损失近40亿美元贸易,1900-06-05
163,0,把大盘带起来，做总龙头。,1900-06-05
161,0,明天高开低走之势，因为四部门的智驾人气抢不过国能局的新能源消纳[捂脸],1900-06-05
144,0,这波估计又能上300元，今年目标价格创新高400元，买买买,1900-06-05
143,1,再谈博实,1900-06-05
143,0,【2024.06.04】小幅下跌-涨指不涨股，中远涨上榜,1900-06-05
129,0,比亚迪解决了70万个工作岗位。,1900-06-05
86,1,比亚迪：融资净偿还2.03亿元，两市排名第二（06-04）,1900-06-05
75,0,比亚迪即将迎来一波上涨,1900-06-05
52,0,今天是最后逃出机会,1900-06-05
50,0,在不确定的大环境里，唯一确定的就是比亚迪，尽然还会有人卖！,1900-06-05
46,0,真的要300了，一年多了要来了,1900-06-05
39,0,冲冲。智能驾驶。L3,1900-06-05
37,0,万亿市值！,1900-06-05
36,0,你们先干，我先撤退了,1900-06-05
36,0,真牛啊迪王,1900-06-05
35,0,这一波可以，不要停～,1900-06-05
33,0,神话一样的股[赞][赞][赞],1900-06-05
30,0,撤了,1900-06-05
29,0,换手率不高拿稳,1900-06-05
28,0,加油干，干上去有人来抬轿子,1900-06-05
27,0,新技术淘汰其他汽车公司,1900-06-05
27,0,这波能到多少啊呀啊呀,1900-06-05
27,0,兄弟们————今年过——————1000,1900-06-05
25,0,加油干,1900-06-05
25,0,唯一真神,1900-06-05
118165,275,老胡抄股1周年了！,1900-06-04
7151,72,如果比亚迪混动充满油电能续航2000公里，而且价格15万，那全世界其它车企都会倒,1900-06-04
4299,10,夜深了，来聊聊最近的市场，谈谈心得！,1900-06-04
3021,18,比亚迪发起第二波攻势，新技术延续低价抢夺市场策略,1900-06-04
2594,15,6.4早盘：今日观察万润科技，比亚迪，宗申动力，引力传媒,1900-06-04
2541,5,炒股不需要先知先觉，而是需要常识+耐力。今年大家觉得避风很重要，实际上就是选股的,1900-06-04
2502,8,销量点评：5月销量表现亮眼，DM5.0落地强化产品力,1900-06-04
2442,7,我国开展智能网联汽车准入和上路通行试点 蔚来、如祺出行等透露更多细节,1900-06-04
2158,3,早评：深夜突发！首次跌破！,1900-06-04
1664,0,新能源车企5月战绩：赛力斯跑得最快！比亚迪销量断层式领先,1900-06-04
1545,10,一定要拿住BYD基本盘，手痒就少量T,1900-06-04
1470,2,瞌睡了刚好来枕头，明天比亚迪大概率6连阳。车联网+无人驾驶，今天300的和主板的,1900-06-04
1182,11,别怕卖飞··只怕乘坐过山车,1900-06-04
977,1,利好出来了，我又要离场了,1900-06-04
686,6,比亚迪股票目前走的主升浪。年底目标486元。启动的导火索与19年基本相同，几时发,1900-06-04
459,7,5月份比亚迪各种副面消息缠身：展厅火灾，江西车主“漏电门”事件，智利锂矿项目遇阻,1900-06-04
450,0,看北向资金最近在比亚迪的操作，比韭菜还韭菜[捂脸],1900-06-04
442,2,今年继续入场比亚迪，望有所收货吧。建议大家关注下新疆的几只优质股票，严重低估。,1900-06-04
337,3,今年新能源最大增量就是插混车,1900-06-04
299,1,比亚迪是科技与制造的 NO.1,1900-06-04
282,0,湖北联合重工甲醇商用车试制成功；比亚迪钠电池项目获批等7条快讯,1900-06-04
281,0,全国销量第一地位面临冲击！大众汽车设立“KI10”绩效项目，未来三年实现人员降本20%,1900-06-04
276,0,特斯拉5月在中国销售超5.5万辆，环比增涨77,1900-06-04
