,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300001.SZ,2024-02-27,19.1,19.49,18.95,19.49,19.16,0.33,1.7223,132151.45,255387.034
1,300001.SZ,2024-02-28,19.48,19.86,18.87,18.87,19.49,-0.62,-3.1811,187643.32,364705.909
2,300001.SZ,2024-02-29,18.88,19.86,18.88,19.86,18.87,0.99,5.2464,207760.12,406403.936
3,300001.SZ,2024-03-01,19.97,21.55,19.61,20.44,19.86,0.58,2.9204,341264.01,700429.065
4,300001.SZ,2024-03-04,20.19,20.55,19.96,20.2,20.44,-0.24,-1.1742,244894.25,493975.466
5,300001.SZ,2024-03-05,20.06,20.45,19.92,20.25,20.2,0.05,0.2475,158154.45,320303.716
6,300001.SZ,2024-03-06,20.13,20.8,20.0,20.52,20.25,0.27,1.3333,185289.73,379789.725
7,300001.SZ,2024-03-07,20.4,20.65,19.88,19.88,20.52,-0.64,-3.1189,164394.16,331962.662
8,300001.SZ,2024-03-08,19.81,20.22,19.81,20.13,19.88,0.25,1.2575,110876.65,222827.677
9,300001.SZ,2024-03-11,20.15,20.82,20.12,20.74,20.13,0.61,3.0303,193460.28,397820.42
10,300001.SZ,2024-03-12,20.8,20.85,20.26,20.45,20.74,-0.29,-1.3983,157689.0,322285.93
11,300001.SZ,2024-03-13,20.42,20.78,20.29,20.55,20.45,0.1,0.489,138166.93,283990.565
12,300001.SZ,2024-03-14,20.46,20.59,20.22,20.37,20.55,-0.18,-0.8759,113331.58,231192.889
13,300001.SZ,2024-03-15,20.33,20.55,20.1,20.38,20.37,0.01,0.0491,107932.91,218707.617
14,300001.SZ,2024-03-18,20.35,20.88,20.35,20.77,20.38,0.39,1.9136,169952.12,352025.23
15,300001.SZ,2024-03-19,20.7,20.7,20.35,20.38,20.77,-0.39,-1.8777,119516.15,245223.685
16,300001.SZ,2024-03-20,20.35,20.62,20.08,20.28,20.38,-0.1,-0.4907,134554.71,272867.679
17,300001.SZ,2024-03-21,20.3,20.38,19.97,20.0,20.28,-0.28,-1.3807,111604.02,225085.44
18,300001.SZ,2024-03-22,19.97,20.14,19.7,19.85,20.0,-0.15,-0.75,99132.5,197028.268
19,300001.SZ,2024-03-25,19.79,19.97,19.49,19.52,19.85,-0.33,-1.6625,87138.89,172425.171
20,300001.SZ,2024-03-26,19.51,20.0,19.44,19.65,19.52,0.13,0.666,112383.0,221017.711
21,300001.SZ,2024-03-27,19.64,19.7,18.82,18.83,19.65,-0.82,-4.173,123506.5,236662.487
22,300001.SZ,2024-03-28,18.9,19.33,18.84,18.95,18.83,0.12,0.6373,118328.0,226265.668
23,300001.SZ,2024-03-29,19.05,19.43,19.0,19.31,18.95,0.36,1.8997,76319.67,146925.592
24,300001.SZ,2024-04-01,19.36,20.03,19.32,19.82,19.31,0.51,2.6411,110332.75,218321.59
25,300001.SZ,2024-04-02,19.82,19.95,19.62,19.75,19.82,-0.07,-0.3532,83752.08,165719.39
26,300001.SZ,2024-04-03,19.72,19.83,19.46,19.5,19.75,-0.25,-1.2658,74843.0,146427.821
27,300001.SZ,2024-04-08,19.4,19.54,19.1,19.11,19.5,-0.39,-2.0,87549.51,168937.536
28,300001.SZ,2024-04-09,19.3,19.48,19.06,19.38,19.11,0.27,1.4129,79244.0,153071.917
29,300001.SZ,2024-04-10,19.36,19.43,18.81,18.95,19.38,-0.43,-2.2188,81330.0,154586.609
30,300001.SZ,2024-04-11,18.7,19.39,18.7,19.06,18.95,0.11,0.5805,81665.53,156256.508
31,300001.SZ,2024-04-12,19.09,19.32,18.87,18.93,19.06,-0.13,-0.6821,63031.08,120067.493
32,300001.SZ,2024-04-15,19.05,19.46,18.88,19.24,18.93,0.31,1.6376,133711.46,256712.137
33,300001.SZ,2024-04-16,19.08,19.41,18.61,18.61,19.24,-0.63,-3.2744,133470.01,252972.69
34,300001.SZ,2024-04-17,18.84,19.26,18.84,19.26,18.61,0.65,3.4927,108181.76,206527.29
35,300001.SZ,2024-04-18,19.26,19.86,19.07,19.73,19.26,0.47,2.4403,143222.18,281005.287
36,300001.SZ,2024-04-19,19.73,19.94,19.21,19.39,19.73,-0.34,-1.7233,127512.82,248564.12
37,300001.SZ,2024-04-22,19.15,19.3,18.4,19.0,19.39,-0.39,-2.0113,123564.65,233772.331
38,300001.SZ,2024-04-23,19.11,19.38,18.72,18.96,19.0,-0.04,-0.2105,93725.38,177918.483
39,300001.SZ,2024-04-24,19.13,19.8,19.13,19.8,18.96,0.84,4.4304,191306.88,375323.991
40,300001.SZ,2024-04-25,19.75,20.03,19.4,19.99,19.8,0.19,0.9596,205991.21,406647.711
41,300001.SZ,2024-04-26,19.99,20.18,19.69,20.12,19.99,0.13,0.6503,213592.52,425387.511
42,300001.SZ,2024-04-29,20.09,20.24,19.74,19.95,20.12,-0.17,-0.8449,301719.79,603596.577
43,300001.SZ,2024-04-30,19.95,19.95,19.28,19.4,19.95,-0.55,-2.7569,204524.69,398638.056
44,300001.SZ,2024-05-06,19.7,20.66,19.7,20.63,19.4,1.23,6.3402,334983.62,679057.76
45,300001.SZ,2024-05-07,20.51,20.57,20.23,20.46,20.63,-0.17,-0.824,169972.58,346469.291
46,300001.SZ,2024-05-08,20.46,20.51,20.02,20.07,20.46,-0.39,-1.9062,129171.21,261439.638
47,300001.SZ,2024-05-09,20.13,20.66,20.03,20.59,20.07,0.52,2.5909,191274.44,392193.542
48,300001.SZ,2024-05-10,20.68,21.25,20.51,21.15,20.59,0.56,2.7198,295757.97,620512.07
49,300001.SZ,2024-05-13,20.95,21.39,20.7,21.16,21.15,0.01,0.0473,233191.8,490949.676
50,300001.SZ,2024-05-14,21.13,21.37,20.82,20.91,21.16,-0.25,-1.1815,174393.9,366749.246
51,300001.SZ,2024-05-15,20.82,20.99,20.47,20.5,20.91,-0.41,-1.9608,157499.38,325347.234
52,300001.SZ,2024-05-16,20.63,20.76,20.31,20.42,20.5,-0.08,-0.3902,111640.26,229235.787
53,300001.SZ,2024-05-17,20.45,20.79,20.35,20.65,20.42,0.23,1.1263,101559.63,208813.96
54,300001.SZ,2024-05-20,20.6,20.87,20.48,20.7,20.65,0.05,0.2421,125394.31,259251.274
55,300001.SZ,2024-05-21,20.62,20.68,20.16,20.21,20.7,-0.49,-2.3671,136133.57,276716.272
56,300001.SZ,2024-05-22,20.3,20.4,20.05,20.34,20.21,0.13,0.6432,96903.78,196153.439
57,300001.SZ,2024-05-23,20.2,20.3,19.7,19.84,20.34,-0.5,-2.4582,109577.32,218323.001
58,300001.SZ,2024-05-24,19.84,20.37,19.84,20.07,19.84,0.23,1.1593,110527.18,222973.35
59,300001.SZ,2024-05-27,20.2,22.0,20.18,21.97,20.07,1.9,9.4669,487326.7,1041468.607
60,300001.SZ,2024-05-28,21.77,22.28,21.64,21.68,21.97,-0.29,-1.32,240355.56,524919.81
61,300001.SZ,2024-05-29,21.55,21.69,21.2,21.61,21.68,-0.07,-0.3229,187906.71,402847.951
62,300001.SZ,2024-05-30,21.97,22.11,21.41,21.49,21.61,-0.12,-0.5553,146266.24,316124.799
63,300001.SZ,2024-05-31,21.55,21.73,21.29,21.55,21.49,0.06,0.2792,152990.52,329471.795
64,300001.SZ,2024-06-03,21.8,21.88,21.34,21.58,21.55,0.03,0.1392,165872.0,357059.035
65,300001.SZ,2024-06-04,21.52,22.84,21.25,22.68,21.58,1.1,5.0973,299068.25,661068.142
66,300001.SZ,2024-06-05,22.48,22.6,21.92,21.98,22.68,-0.7,-3.0864,210747.09,468217.225
67,300001.SZ,2024-06-06,21.92,22.29,21.74,21.88,21.98,-0.1,-0.455,184871.89,407141.028
