Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
601919.SH,2024-02-27,10.54,580365.81,610277.461,10.44,10.59,10.42
601919.SH,2024-02-28,10.41,721032.35,755187.541,10.53,10.56,10.41
601919.SH,2024-02-29,10.5,685836.66,717885.376,10.41,10.52,10.38
601919.SH,2024-03-01,10.42,588629.07,613341.417,10.45,10.49,10.38
601919.SH,2024-03-04,10.44,763401.46,795204.936,10.38,10.5,10.31
601919.SH,2024-03-05,10.48,730479.74,764162.147,10.44,10.51,10.4
601919.SH,2024-03-06,10.43,575793.6,601724.471,10.48,10.49,10.41
601919.SH,2024-03-07,10.43,760682.22,796618.811,10.45,10.54,10.4
601919.SH,2024-03-08,10.66,1112351.11,1176904.98,10.45,10.68,10.44
601919.SH,2024-03-11,10.68,1059407.7,1137931.36,10.67,10.93,10.6
601919.SH,2024-03-12,10.46,922346.57,971672.042,10.64,10.68,10.45
601919.SH,2024-03-13,10.36,732747.18,759770.893,10.44,10.5,10.31
601919.SH,2024-03-14,10.51,611225.38,640278.991,10.33,10.54,10.31
601919.SH,2024-03-15,10.43,553741.43,577192.894,10.51,10.57,10.35
601919.SH,2024-03-18,10.5,486882.52,510413.556,10.45,10.52,10.43
601919.SH,2024-03-19,10.26,914477.42,945185.323,10.48,10.5,10.25
601919.SH,2024-03-20,10.32,452639.33,465344.591,10.24,10.35,10.21
601919.SH,2024-03-21,10.33,401438.22,414179.373,10.34,10.37,10.26
601919.SH,2024-03-22,10.24,580335.59,593923.379,10.28,10.32,10.16
601919.SH,2024-03-25,10.22,414054.66,424779.044,10.22,10.3,10.19
601919.SH,2024-03-26,10.2,375899.06,383060.049,10.22,10.27,10.15
601919.SH,2024-03-27,10.29,591551.57,610000.575,10.22,10.36,10.22
601919.SH,2024-03-28,10.38,566225.35,584508.812,10.32,10.4,10.22
601919.SH,2024-03-29,10.35,793609.06,815658.261,10.24,10.43,10.07
601919.SH,2024-04-01,10.39,578627.68,601446.311,10.36,10.48,10.33
601919.SH,2024-04-02,10.57,839739.1,882017.729,10.45,10.58,10.4
601919.SH,2024-04-03,10.58,894686.78,947832.09,10.64,10.74,10.52
601919.SH,2024-04-08,10.64,774266.82,822950.052,10.58,10.72,10.45
601919.SH,2024-04-09,10.53,547130.31,577211.551,10.64,10.65,10.5
601919.SH,2024-04-10,10.55,492321.58,519384.194,10.56,10.6,10.49
601919.SH,2024-04-11,10.58,602773.0,636880.993,10.49,10.63,10.46
601919.SH,2024-04-12,10.63,775684.87,828402.937,10.63,10.75,10.6
601919.SH,2024-04-15,10.81,1187532.39,1273567.512,10.64,10.84,10.51
601919.SH,2024-04-16,10.72,1118393.34,1208245.681,10.83,10.91,10.68
601919.SH,2024-04-17,10.87,1007583.2,1085508.071,10.67,10.88,10.57
601919.SH,2024-04-18,10.85,936408.84,1015603.044,10.8,10.93,10.78
601919.SH,2024-04-19,10.98,1943310.65,2150504.461,10.85,11.29,10.82
601919.SH,2024-04-22,11.04,1452928.84,1613452.169,11.01,11.22,10.95
601919.SH,2024-04-23,10.97,975874.46,1071662.035,11.04,11.12,10.88
601919.SH,2024-04-24,11.15,822812.99,910179.081,10.97,11.16,10.94
601919.SH,2024-04-25,11.33,1035293.14,1167727.2,11.15,11.37,11.12
601919.SH,2024-04-26,11.33,1008724.99,1144690.383,11.33,11.48,11.23
601919.SH,2024-04-29,11.33,1487873.41,1702420.24,11.39,11.68,11.29
601919.SH,2024-04-30,11.77,2264943.61,2653694.418,11.35,11.96,11.35
601919.SH,2024-05-06,12.02,1418190.9,1692509.33,12.0,12.06,11.79
601919.SH,2024-05-07,12.07,1058864.03,1278632.698,12.02,12.16,11.96
601919.SH,2024-05-08,12.21,1150671.39,1402062.078,12.1,12.28,12.08
601919.SH,2024-05-09,13.33,3205941.08,4160603.816,12.32,13.43,12.32
601919.SH,2024-05-10,13.35,2484904.8,3318943.636,13.39,13.57,13.2
601919.SH,2024-05-13,14.07,2926699.74,4067255.228,13.66,14.12,13.61
601919.SH,2024-05-14,13.96,2112194.55,2950159.48,14.09,14.21,13.81
601919.SH,2024-05-15,14.28,2107244.32,3000927.451,13.98,14.54,13.96
601919.SH,2024-05-16,14.1,2275042.08,3251100.088,14.5,14.64,14.06
601919.SH,2024-05-17,14.06,2493431.73,3480543.313,14.18,14.33,13.67
601919.SH,2024-05-20,14.4,1621615.72,2321048.878,14.16,14.42,14.16
601919.SH,2024-05-21,14.26,1130601.26,1621311.161,14.46,14.53,14.22
601919.SH,2024-05-22,14.0,1335741.15,1884009.299,14.27,14.32,13.98
601919.SH,2024-05-23,14.13,1192437.51,1682545.915,14.0,14.23,13.97
601919.SH,2024-05-24,14.14,896787.95,1268655.65,14.13,14.28,13.98
601919.SH,2024-05-27,15.04,2487687.99,3715342.089,14.42,15.2,14.41
601919.SH,2024-05-28,15.53,2772846.79,4276978.042,15.07,15.87,15.0
601919.SH,2024-05-29,15.61,1567871.08,2431970.56,15.5,15.68,15.23
601919.SH,2024-05-30,15.04,1784887.96,2709169.933,15.5,15.56,14.96
601919.SH,2024-05-31,15.04,1367006.95,2072046.85,15.08,15.4,15.0
601919.SH,2024-06-03,16.06,2607219.88,4141004.062,15.44,16.19,15.41
601919.SH,2024-06-04,16.58,2653975.78,4313858.216,15.9,16.69,15.89
601919.SH,2024-06-05,16.58,1766046.25,2938957.507,16.55,16.86,16.46
601919.SH,2024-06-06,16.85,3282277.92,5623736.038,16.99,17.58,16.7
