标题,情绪,情绪分数
公司目前前2大股东均为山西省国资委的公司，股份占比54.78%。前十大股东持股比,False,0.12065570363526312
仔细看了北铜历史，2021年前叫南风化工，也是山西国资委控股，当时大股东就是现在,True,0.9754410302250272
铜长期短缺,True,0.8438377694717777
铜价利好,False,0.4737672181921908
紧急集合！重大调整,False,0.32828507196845025
北方铜不要忘了他下面的北铜新材，好好读一下人家是做什么的。有色总龙头，有色只做北,True,0.7805687259171222
【铜价狂飙专家预言铜将冲破天价】著名商品交易商皮埃尔·安杜兰德大胆预测，铜价将达,True,0.9999294918938894
北方铜业与江西铜业云南铜业完全不同，不仅有采矿，更有精加工，而且精加工产品是市场,True,0.7049727057366882
沪铜期货今年2月初以来5浪上涨结束了。突破了历史高点开始进入震荡调整阶段，以时间,True,0.9630455200305561
北铜新材料科技公司，主营产品除了覆铜板，铜膜，还有各种厚度，型号压延铜箔和电解铜,True,0.9250669259515736
11年未分红注意控制风险,False,0.3443499853685873
SUM大涨！,True,0.6767637719271541
季月线看不复权07，15，21年算今年4重顶，如果13.88冲不破那彻底凉凉，北,False,0.1539823660972085
北方铜业能否走出象300641趋势来，给股友带来惊喜,True,0.6797608889099992
周六美股收盘南方铜业又涨了↑,True,0.7775917729388621
尾盘进去的资金是不是主力,False,0.24024458541642357
下周必上13，不信走着瞧,False,0.32369843186429315
周一惨了。暴跌,True,0.8271140590339812
感觉没有上涨空间！板块上不去一切都是梦想,True,0.5140355802136817
高位有色股将要迎来月线级别的调整，此股我在13.30出了8成仓位，周五冲高清仓剩,False,0.004509445290569625
下周一收涨停板。,True,0.55675528798278
下周可以继续进场了，地产飞车暂时歇会儿，北铜上次冲高回落，周五稳定些了，该走平上,True,0.9596247899435717
这二天大盘下挫的原因找到，出台了严格的减持新规，但对优质公司影响不大。市场往价值,True,0.7802415019868019
今年是有色大年，放心,False,0.36924024938630884
买有色的人跟买人工智能的让一样累，不但要关注股票和消息，还要关注期货和英伟达。,False,0.2806823772320699
$北方铜业(SZ000737)$,False,0.29699965546082707
这种市场就是时刻提防顶部出现，前天就感觉要出现岛形。不过周五把缺口补上了，不然岛,False,0.2964544522250536
岛形已经消失，静观其变吧。昨天要是真下去彻底没戏了,True,0.7274580997634712
谁怀疑北铜，就赶快离开股市[大笑],True,0.9734545130114081
昨天没走，感觉周一还有一轮,True,0.593653143587269
三连阴后放量首阳，周一有红盘机会，关注,True,0.8509512481261275
唱多的太多，周一不保,True,0.620839325183698
期货才开始跌，此股不再街区了,False,0.09449128931936135
周一谁也逃不掉,False,0.27941141167953865
希望是今年的10倍股,False,0.17561429523572336
亏死我了，呜呜呜，,False,0.338381380637765
可以举报,False,0.4285714285714284
铜业龙头应该换了,False,0.1036023049132967
呜呜呜，亏死我了,False,0.338381380637765
跟踪,False,0.2500000000000001
一路攀登。 韭菜不足以改变趋势。,True,0.9531030907906871
北方铜业：其他收益增长主要是2024年一季度公司收到进口贴息专项资金,True,0.9723029990995447
北方铜业午盘点评！,False,0.2735259349781618
【知名对冲基金经理皮埃尔·安杜兰：铜价将飙升至每吨4万美元】5月24日消息，对冲,True,0.9811615069097637
北铜是有色金属的扛大旗者！如果北铜嘎掉的话，整个板块都没戏了。耐心等北铜调整完毕,True,0.9175010503042975
5月23日热门股点评：,False,0.19299989329280365
铜价将飙升至每吨4万美元，知名对冲基金经理皮埃尔·安杜兰,True,0.9986883497078716
5月24日消息，为加强对证券公司提供投资价值研究报告执业行为自律管理，防范利益冲,True,0.9530591012478221
除了中国大规模更换工业设备、家电、汽车、手机和美国大规模更换电力设备需要很多铜以,True,0.9625793931703646
覆铜板涨价概念了，今天上涨的原因是覆铜板提价了,True,0.5671609978967939
这么多老鼠仓，到底想干嘛,False,0.04281935870487774
慢爬式上升，终有结束的时候,False,0.2782162996321035
今天不跌反涨，原来世界铜库存严重不足，铜需求急剧增加了。,True,0.9975944235998796
北铜新材在秘密研制“二向箔”！,True,0.993556258573035
下周又到了边涨边减仓的欢乐时刻，翻倍了要勇于卖，错过5月21日的卖点,False,0.07828486177497362
哎，没卖掉到高点，把昨天进的先出了。,False,0.08300184285333911
今晚期货银又涨了,True,0.8973799108429965
$北方铜业(SZ000737)$,False,0.29699965546082707
诱多[滴汗],True,0.8135873836249917
没人气了,False,0.40893457485484286
转发,False,0.5
赶紧跑啊,False,0.30138014171686756
